Movie,IMDB_Rating,Meta_score
3 Idiots,8.4,67.0
50/50,7.6,72.0
About Time,7.8,55.0
American History X,8.5,62.0
American Psycho,7.6,64.0
Avengers: Infinity War,8.4,68.0
Beasts of No Nation,7.7,79.0
Billy Elliot,7.7,74.0
Black Hawk Down,7.7,74.0
Blow,7.6,52.0
Cat on a Hot Tin Roof,8.0,84.0
Coraline,7.7,80.0
Crash,7.7,66.0
Dallas Buyers Club,8.0,80.0
District 9,7.9,81.0
Doctor Zhivago,8.0,69.0
Drive,7.8,78.0
Drive,7.8,78.0
End of Watch,7.6,68.0
Enter the Dragon,7.7,83.0
Ex Machina,7.7,78.0
Fear and Loathing in Las Vegas,7.6,41.0
God's Own Country,7.7,85.0
Hell or High Water,7.6,88.0
Her,8.0,90.0
"I, Daniel Blake",7.9,78.0
Indiana Jones and the Last Crusade,8.2,65.0
Inglourious Basterds,8.3,69.0
Joker,8.5,59.0
"Lock, Stock and Two Smoking Barrels",8.2,66.0
Monty Python and the Holy Grail,8.2,91.0
Mystic River,7.9,84.0
Naked,7.8,84.0
Ocean's Eleven,7.7,74.0
Once Upon a Time in the West,8.5,80.0
Philadelphia,7.7,66.0
Pulp Fiction,8.9,94.0
Raging Bull,8.2,89.0
Rain Man,8.0,65.0
Rocky,8.1,70.0
Room,8.1,86.0
Schindler's List,8.9,94.0
Seven Pounds,7.6,36.0
Sherlock Holmes,7.6,57.0
Short Term 12,8.0,82.0
Sin City,8.0,74.0
Sling Blade,8.0,84.0
Spider-Man: Into the Spider-Verse,8.4,87.0
Taxi Driver,8.3,94.0
The Fighter,7.8,79.0
The Game,7.8,61.0
The Hateful Eight,7.8,68.0
The Innocents,7.8,88.0
The Irishman,7.9,94.0
The King's Speech,8.0,88.0
The Little Mermaid,7.6,88.0
The Lives of Others,8.4,89.0
The Matrix,8.7,73.0
The Pursuit of Happyness,8.0,64.0
The Theory of Everything,7.7,72.0
Thor: Ragnarok,7.9,74.0
Trainspotting,8.1,83.0
V for Vendetta,8.2,62.0
What's Eating Gilbert Grape,7.8,73.0
Zodiac,7.7,78.0
Zombieland,7.6,73.0
